Species,Country.of.Origin,Region,Farm.Name,Owner,Company,Certification.Body,unit_of_measurement,Altitude,altitude_high_meters,altitude_low_meters,altitude_mean_meters,Number.of.Bags,Bag.Weight,Harvest.Year,Grading.Date,Expiration,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Category.Two.Defects,Quakers,Color
Arabica,Brazil,vale da grama,santa alina,nucoffee,NA,NUCOFFEE,m,1200m to 1350m,1350,1200,1275,75,60 kg,2011,"October 28th, 2011","October 27th, 2012",Yellow Bourbon,NA,8.17,8,7.5,7.75,7.5,7.67,10,10,10,7.75,84.33,0,0,4,0,NA
Arabica,Brazil,south of minas,fazenda baipendi,nucoffee,NA,NUCOFFEE,m,900-1200m,1200,900,1050,80,60 kg,2011,"October 28th, 2011","October 27th, 2012",NA,NA,8,8,7.5,7.5,7.67,7.75,10,10,10,7.92,84.33,0.02,0,2,0,NA
Arabica,Ethiopia,limu,NA,benjamin schmerler,NA,Specialty Coffee Association,ft,3600-6200 ft,1889.76,1097.28,1493.52,1,132 lbs,NA,"June 14th, 2011","June 13th, 2012",NA,NA,7.75,7.75,7.92,7.75,7.5,7.92,10,10,10,7.75,84.33,0,0,1,0,NA
Arabica,Guatemala,nuevo oriente,las minas,the coffee source inc.,NA,Specialty Coffee Association,ft,4400-4700 ft,1432.56,1341.12,1386.84,250,1,December 2009-March 2010,"April 30th, 2010","April 30th, 2011",NA,NA,7.5,7.67,7.75,7.67,7.92,7.92,10,10,10,7.92,84.33,0.04,1,1,0,NA
Arabica,Taiwan,國姓鄉 guoshing township,馨晴咖啡 good mood coffee,"lin, che-hao krude 林哲豪",taiwan coffee laboratory,Specialty Coffee Association,m,1000,1000,1000,1000,10,5 kg,2016,"August 10th, 2017","August 10th, 2018",Typica,Washed / Wet,7.92,7.75,7.75,7.67,7.67,7.83,10,10,10,7.67,84.25,0.12,0,0,0,Blue-Green
Arabica,Thailand,chiang rai thailand,matsuzawa coffee,松澤宏樹 koju matsuzawa,matsuzawa coffee,Specialty Coffee Institute of Asia,m,1200,1200,1200,1200,20,25 kg,2015,"November 2nd, 2016","November 2nd, 2017",Catimor,Natural / Dry,7.83,7.75,7.75,7.42,7.83,7.67,10,10,10,8,84.25,0.12,0,0,0,Green
Arabica,Colombia,nariño,NA,carcafe ltda ci,carcafe ltda,Almacafé,m,2560,2560,2560,2560,275,70 kg,2016,"August 5th, 2016","August 5th, 2017",Caturra,Natural / Dry,7.83,7.58,7.75,7.58,7.67,8,10,10,10,7.83,84.25,0.11,0,2,0,Green
Arabica,Guatemala,antigua,finca medina,juan luis alvarado romero,"siembras vision, s.a.",Asociacion Nacional Del Café,m,1500,1500,1500,1500,230,69 kg,2016,"May 23rd, 2016","May 23rd, 2017",Caturra,Washed / Wet,7.75,7.75,7.58,7.92,7.75,7.75,10,10,10,7.75,84.25,0.11,0,4,4,Green
Arabica,Guatemala,huehuetenango,finca san vicente,juan luis alvarado romero,exportcafe,Asociacion Nacional Del Café,ft,3607,1099.4136,1099.4136,1099.4136,275,69 kg,2015,"April 6th, 2016","April 6th, 2017",Caturra,Washed / Wet,7.75,7.92,7.5,8.08,7.58,7.67,10,10,10,7.75,84.25,0.1,0,1,0,Green
Arabica,China,yunnan,menglian county nayun town mangzhang coffee farm,yunnan coffee exchange,yunnan coffee exchange,Yunnan Coffee Exchange,m,1400,1400,1400,1400,3,60 kg,2015,"April 6th, 2016","April 6th, 2017",Catimor,Natural / Dry,7.83,7.83,7.58,7.75,7.75,7.75,10,10,10,7.75,84.25,0.1,0,1,0,Green
Arabica,Colombia,huila,NA,racafe & cia s.c.a,racafe & cia s.c.a,Almacafé,m,de 1600 a 1950 msnm,1950,1600,1775,275,70 kg,2015,"November 19th, 2015","November 18th, 2016",Caturra,Washed / Wet,7.67,7.67,7.75,7.75,7.67,7.92,10,10,10,7.83,84.25,0.11,0,3,0,Green
Arabica,Colombia,huila,NA,racafe & cia s.c.a,racafe & cia s.c.a,Almacafé,m,de 1600 a 1950 msnm,1950,1600,1775,248,70 kg,2015,"October 26th, 2015","October 25th, 2016",Caturra,Washed / Wet,7.83,7.67,7.75,7.58,7.92,7.75,10,10,10,7.75,84.25,0.12,4,2,0,Green
Arabica,Colombia,cauca,NA,federacion nacional de cafeteros,federacion nacional de cafeteros,Almacafé,m,1800,1800,1800,1800,275,2 kg,2015/2016,"June 5th, 2015","June 4th, 2016",Other,Washed / Wet,7.83,7.75,7.83,7.58,7.67,7.75,10,10,10,7.83,84.25,0.12,0,0,0,Green
Arabica,Colombia,huila,NA,carcafe ltda ci,carcafe ltda,Almacafé,m,442 msnm,442,442,442,250,70 kg,2015,"April 29th, 2015","April 28th, 2016",Caturra,Natural / Dry,7.42,7.67,7.83,7.75,7.92,7.83,10,10,10,7.83,84.25,0.12,3,0,0,Green
Arabica,"Tanzania, United Republic Of",shizingo village,jacksom mwasenga,tembo coffee company ltd,tembo coffee company ltd,Africa Fine Coffee Association,m,1620m,1620,1620,1620,10,60 kg,2014,"December 12th, 2014","December 12th, 2015",Other,Washed / Wet,7.83,7.67,7.75,7.83,7.67,7.67,10,10,10,7.83,84.25,0.12,0,7,0,Green
Arabica,"Tanzania, United Republic Of",mbeya,suma jkt itende,taylor winch (t) ltd,taylor winch (t) ltd,Africa Fine Coffee Association,m,1600,1600,1600,1600,65,60 kg,2014,"December 12th, 2014","December 12th, 2015",Other,Washed / Wet,7.83,7.75,7.75,7.75,7.67,7.75,10,10,10,7.75,84.25,0.12,0,2,0,Green
Arabica,Guatemala,oriente,el papaturro,juan luis alvarado romero,"unex guatemala, s.a.",Asociacion Nacional Del Café,ft,4000 psnm,1219.2,1219.2,1219.2,250,69 kg,2014,"August 21st, 2014","August 21st, 2015",Bourbon,Other,7.83,7.83,7.5,7.92,7.58,7.75,10,10,10,7.83,84.25,0.1,0,1,0,Green
Arabica,Colombia,cauca,NA,exportadora de cafe condor s.a,exportadora de cafe condor s.a,Almacafé,m,1700,1700,1700,1700,250,70 kg,2013,"October 1st, 2013","October 1st, 2014",Caturra,Washed / Wet,7.58,7.5,7.75,7.83,7.92,7.83,10,10,10,7.83,84.25,0.11,0,2,0,Green
Arabica,United States (Hawaii),kona,NA,kona pacific farmers cooperative,kona pacific farmers cooperative,Specialty Coffee Association,ft,NA,NA,NA,NA,7,100 lbs,2012,"December 11th, 2012","December 11th, 2013",Hawaiian Kona,Natural / Dry,7.33,7.92,7.92,7.92,7.92,8.08,10,10,9.33,7.83,84.25,0.11,1,1,0,Bluish-Green
Arabica,Mexico,san pedro cotzilnam,pante carajillo,jesus salazar velasco,carajillo café sa de cv,AMECAFE,m,1450,1450,1450,1450,10,1 kg,2012,"September 11th, 2012","September 11th, 2013",Typica,Semi-washed / Semi-pulped,7.83,7.92,7.67,7.83,7.5,7.75,10,10,10,7.75,84.25,0.12,0,1,0,Green
Arabica,Mexico,veracruz,finca los barreales,manuel herrera juarez,NA,AMECAFE,m,1170,1170,1170,1170,20,1 kg,2012,"April 9th, 2012","April 9th, 2013",Bourbon,Washed / Wet,7.83,7.83,7.75,7.67,7.83,7.58,10,10,10,7.75,84.25,0.12,0,0,0,Green
Arabica,Mexico,"la concordia, chiapas",finca santa teresa,alfredo bojalil,ecomtrading,AMECAFE,m,1400,1400,1400,1400,250,1 kg,2012,"April 2nd, 2012","April 2nd, 2013",Bourbon,Washed / Wet,7.83,7.92,7.67,7.75,7.5,7.75,10,10,10,7.83,84.25,0.1,0,4,0,Bluish-Green
Arabica,Uganda,kasese,NA,afca,bukonzo joint cfs,Africa Fine Coffee Association,m,1700m,1700,1700,1700,1,60 kg,2012,"February 13th, 2012","February 12th, 2013",Other,Natural / Dry,8.17,7.75,7.58,7.67,7.83,7.58,10,10,10,7.67,84.25,0.13,4,29,0,Green
Arabica,Guatemala,san marcos,piamonte,juan luis alvarado romero,"unex guatemala, s.a.",Asociacion Nacional Del Café,m,1700,1700,1700,1700,50,69 kg,2017,"June 1st, 2017","June 1st, 2018",Bourbon,Washed / Wet,7.75,7.83,7.58,7.83,7.67,7.75,10,10,10,7.75,84.17,0.13,0,1,0,Green
Arabica,Colombia,huila,NA,racafe & cia s.c.a,racafe & cia s.c.a,Almacafé,m,NA,NA,NA,NA,250,70 kg,2016,"August 19th, 2016","August 19th, 2017",Caturra,Washed / Wet,7.83,7.75,7.58,7.67,7.75,7.83,10,10,10,7.75,84.17,0,0,2,0,Green
Arabica,Costa Rica,tarrazu,los girasoles,wayner jimenez,exclusive coffee - costa rica,Specialty Coffee Association of Costa Rica,m,1700,1700,1700,1700,150,69 kg,2016,"August 19th, 2016","August 19th, 2017",Caturra,Washed / Wet,7.92,7.75,7.67,7.67,7.5,7.67,10,10,10,8,84.17,0.09,0,2,0,Bluish-Green
Arabica,Guatemala,huehuetenango,finca la joya,juan luis alvarado romero,exportcafe,Asociacion Nacional Del Café,ft,3664,1116.7872,1116.7872,1116.7872,275,69 kg,2016,"June 23rd, 2016","June 23rd, 2017",Caturra,Washed / Wet,7.75,7.75,7.58,8,7.67,7.83,10,10,10,7.58,84.17,0.11,0,6,0,Green
Arabica,Guatemala,solola,santo tomas pachuj,juan luis alvarado romero,cafcom,Asociacion Nacional Del Café,m,1565,1565,1565,1565,377,69 kg,2016,"June 1st, 2016","June 1st, 2017",Caturra,Washed / Wet,7.75,7.92,7.58,7.92,7.67,7.67,10,10,10,7.67,84.17,0.1,0,10,1,Green
Arabica,Guatemala,norte,chapultepec,juan luis alvarado romero,"unex guatemala, s.a.",Asociacion Nacional Del Café,m,3280,3280,3280,3280,130,69 kg,2016,"June 1st, 2016","June 1st, 2017",Bourbon,Washed / Wet,7.58,7.83,7.58,7.83,7.83,7.67,10,10,10,7.83,84.17,0.1,0,2,0,Green
Arabica,Colombia,huila,NA,racafe & cia s.c.a,racafe & cia s.c.a,Almacafé,m,de 1600 a 1950 msnm,1950,1600,1775,275,70 kg,2015,"August 18th, 2015","August 17th, 2016",Caturra,Washed / Wet,8,7.5,7.5,7.67,8,7.83,10,10,10,7.67,84.17,0,0,0,0,Bluish-Green
Arabica,Nicaragua,jinotega,las nubes,cooperativa el gorrion r.l,cooperativa el gorrion r.l,Specialty Coffee Association of Costa Rica,m,de 900 a 1100 msnm,1100,900,1000,275,2 kg,2015,"August 3rd, 2015","August 2nd, 2016",Caturra,Natural / Dry,7.67,7.83,7.83,7.5,7.67,7.83,10,10,10,7.83,84.17,0.12,0,0,0,Bluish-Green
Arabica,Brazil,cerrado,pantano,cafebras,cafebras comercio de cafés do brasil sa,Brazil Specialty Coffee Association,m,1150,1150,1150,1150,305,59 kg,2015,"April 24th, 2015","April 23rd, 2016",Catuai,Natural / Dry,7.67,7.75,7.75,7.67,7.83,7.75,10,10,10,7.75,84.17,0,0,16,0,NA
Arabica,Costa Rica,tarrazu,gamboa,"ceca, s.a.","ceca,s.a.",Specialty Coffee Association of Costa Rica,m,1850,1850,1850,1850,320,69 kg,2014,"April 10th, 2015","April 9th, 2016",Caturra,Washed / Wet,7.67,7.75,7.67,7.75,7.5,8,10,10,10,7.83,84.17,0,0,0,0,Blue-Green
Arabica,Ethiopia,snnprg; kafa; telo woreda; shada kebele,asefa dukamo coffee plantation,asefa dukamo keroma,asefa dukamo coffee plantetion,METAD Agricultural Development plc,m,1545-1668 masl,1668,1545,1606.5,320,60 kg,2014,"March 26th, 2015","March 25th, 2016",Gesha,Natural / Dry,7.5,7.92,7.58,7.83,7.75,7.83,10,10,10,7.75,84.17,0.1,0,5,0,Green
Arabica,"Tanzania, United Republic Of",arusha,selian coffee estate,selian coffee estate,selian coffee estate,Africa Fine Coffee Association,m,1400,1400,1400,1400,10,60 kg,2014,"December 12th, 2014","December 12th, 2015",Other,Washed / Wet,7.92,7.75,7.75,7.75,7.75,7.58,10,10,10,7.67,84.17,0.13,0,0,0,Green
Arabica,Colombia,huila,NA,olam agro colombia,olam international ltd,Almacafé,m,1530,1530,1530,1530,250,1 kg,2014/2015,"October 15th, 2014","October 15th, 2015",Other,Washed / Wet,7.67,7.5,7.67,7.42,7.83,8.58,10,10,10,7.5,84.17,0.12,0,4,0,Green
Arabica,Guatemala,NA,NA,chris finch,volcafe specialty coffee,Specialty Coffee Association,m,NA,NA,NA,NA,275,5 lbs,2013,"July 16th, 2014","July 16th, 2015",NA,Washed / Wet,7.67,7.75,7.67,7.75,7.75,7.75,10,10,10,7.83,84.17,0.11,0,0,0,Bluish-Green
Arabica,Kenya,kenya,NA,itochu corporation,taylor winch (coffee) ltd,Kenya Coffee Traders Association,m,approx. 1'500 metres a.s.l.,500,1,250.5,300,18000 kg,2013,"November 7th, 2013","November 7th, 2014",SL28,Washed / Wet,7.58,7.75,7.75,7.75,7.75,7.83,10,10,10,7.75,84.17,0.08,0,0,0,Green
Arabica,Brazil,"minas gerais, br",café do paraíso,owen carver,café do paraíso,Specialty Coffee Association,m,894m - 1183m,1183,894,1038.5,1,2 kg,2012,"May 20th, 2013","May 20th, 2014",Mundo Novo,Natural / Dry,7.58,7.83,7.75,7.67,7.67,8,10,10,10,7.67,84.17,0.11,0,3,0,Green
Arabica,Guatemala,oriente,la union monte verde,juan luis alvarado romero,"unex guatemala, s.a.",Asociacion Nacional Del Café,ft,4300,1310.64,1310.64,1310.64,250,69 kg,2013,"May 9th, 2013","May 9th, 2014",Bourbon,Washed / Wet,7.92,7.75,7.67,7.67,7.83,7.92,10,10,10,7.42,84.17,0.11,0,4,0,Green
Arabica,El Salvador,apaneca,el majahual,atlantic specialty coffee,atlantic specialty coffee,Specialty Coffee Association,m,1500 meters,1500,1500,1500,275,2 kg,2013,"March 18th, 2013","March 18th, 2014",Bourbon,Natural / Dry,8.42,8.08,7.5,7.17,7.58,8.17,9.33,10,10,7.92,84.17,0.11,0,2,0,Bluish-Green
Arabica,Colombia,huila,NA,exportadora de cafe condor s.a,exportadora de cafe condor s.a,Almacafé,m,1750 msnm,1750,1750,1750,250,70 kg,2012,"October 19th, 2012","October 19th, 2013",Caturra,Washed / Wet,7.75,7.75,7.75,7.75,7.83,7.75,10,10,10,7.58,84.17,0,0,2,0,Green
Arabica,Guatemala,guatemala,el limon,juan luis alvarado romero,unicafe,Asociacion Nacional Del Café,m,NA,NA,NA,NA,275,1 kg,2012,"March 26th, 2012","March 26th, 2013",Catuai,Natural / Dry,7.83,7.5,7.5,8,7.83,7.83,10,10,10,7.67,84.17,0.11,0,2,0,Bluish-Green
Arabica,Uganda,mt. rwenzori,NA,afca,great lakes coffee,Africa Fine Coffee Association,m,1500-1700m,1700,1500,1600,320,60 kg,2012,"February 13th, 2012","February 12th, 2013",Other,Washed / Wet,7.83,7.75,7.5,7.83,7.83,7.75,10,10,10,7.67,84.17,0.11,0,1,0,Green
Arabica,Indonesia,aceh tengah,"mus, eman",pt.royal pacific indah international,pt. royal pacific indah international,Specialty Coffee Association of Indonesia,m,NA,NA,NA,NA,2,2 kg,2017,"May 24th, 2017","May 24th, 2018",Mandheling,Natural / Dry,7.81,7.88,7.56,7.75,7.63,7.75,10,10,10,7.75,84.13,0.12,0,0,0,Bluish-Green
Arabica,Colombia,huila,NA,carcafe ltda ci,carcafe ltda,Almacafé,m,442,442,442,442,275,70 kg,2017 / 2018,"November 9th, 2017","November 9th, 2018",Caturra,Washed / Wet,7.83,7.5,7.42,7.5,7.83,8.5,10,10,10,7.5,84.08,0,1,3,3,Green
Arabica,Taiwan,"nanxi dist., tainan city 臺南市楠西區",chang yu liang 張玉良,"lin, che-hao krude 林哲豪",taiwan coffee laboratory,Specialty Coffee Association,m,968,968,968,968,10,20 kg,2016,"May 18th, 2016","May 18th, 2017",Typica,Washed / Wet,7.58,7.67,7.67,7.67,7.75,7.83,10,10,10,7.92,84.08,0.1,0,4,0,Bluish-Green
Arabica,Guatemala,oriente,la esperanza y anexos,juan luis alvarado romero,"unex guatemala, s.a.",Asociacion Nacional Del Café,m,NA,NA,NA,NA,50,69 kg,2016,"April 27th, 2016","April 27th, 2017",Bourbon,Washed / Wet,8,7.75,7.5,7.58,7.92,7.67,10,10,10,7.67,84.08,0.1,0,4,0,Green
Arabica,Colombia,huila,NA,racafe & cia s.c.a,racafe & cia s.c.a,Almacafé,m,de 1600 a 1950 msnm,1950,1600,1775,200,70 kg,2014,"November 5th, 2014","November 5th, 2015",Caturra,Washed / Wet,7.92,7.75,7.67,7.75,7.67,7.67,10,10,10,7.67,84.08,0,0,2,0,NA
Arabica,Guatemala,"aldea xeucalvitz, ixil region, quiche department",aprocafi,lusso lab,lusso coffee lab,Specialty Coffee Association,m,1550,1550,1550,1550,1,2 kg,2014,"June 16th, 2014","June 16th, 2015",Bourbon,Washed / Wet,7.58,7.75,7.67,8,7.75,7.67,10,10,10,7.67,84.08,0.1,0,10,0,Bluish-Green
Arabica,United States (Hawaii),kona,NA,kona pacific farmers cooperative,kona pacific farmers cooperative,Specialty Coffee Association,ft,NA,NA,NA,NA,14,100 lbs,2012,"January 24th, 2013","January 24th, 2014",Hawaiian Kona,Natural / Dry,7.83,7.75,7.83,7.83,7.42,8.08,9.33,10,10,8,84.08,0.11,1,9,0,Green
Arabica,Mexico,santo domingo cacalotepec,la lagunilla,andres martinez leon,NA,AMECAFE,m,1480,1480,1480,1480,300,1 kg,2012,"September 4th, 2012","September 4th, 2013",Typica,Washed / Wet,7.67,7.75,7.67,7.75,7.67,7.75,10,10,10,7.83,84.08,0.11,1,10,0,Green
Arabica,Ethiopia,"ethiopia, sidamo",NA,steven kil,the specialty coffee appraisers institute of asia,Specialty Coffee Association,m,1800m,1800,1800,1800,100,60 kg,2012,"August 17th, 2012","August 17th, 2013",Other,Natural / Dry,7.92,7.92,7.83,8,7.92,7.92,10,10,8.67,7.92,84.08,0.09,0,15,0,NA
Arabica,Costa Rica,NA,NA,amanda powers,thrive farmers,Specialty Coffee Association,m,NA,NA,NA,NA,275,150 lbs,2017,"January 11th, 2018","January 11th, 2019",NA,Washed / Wet,7.58,7.75,7.67,7.75,7.83,7.75,10,10,10,7.67,84,0.08,1,13,2,None
Arabica,Ethiopia,sidamo,kerchanshe,kyagalanyi coffee ltd,kyagalanyi coffee ltd,Uganda Coffee Development Authority,m,1800,1800,1800,1800,320,60 kg,2017,"June 5th, 2017","June 5th, 2018",Gesha,Natural / Dry,7.83,7.75,7.67,7.75,7.33,7.75,10,10,10,7.92,84,0.11,3,1,11,Green
Arabica,Honduras,comayagua,las cuchillas,bismarck castro,cigrah s.a de c.v,Instituto Hondureño del Café,m,1500,1500,1500,1500,275,66 kg,2017,"May 11th, 2017","May 11th, 2018",Caturra,Washed / Wet,7.42,7.83,7.75,7.92,7.75,7.58,10,10,10,7.75,84,0.1,0,5,0,Green
Arabica,Guatemala,huehuetenango,finca los cerros y anexos,juan luis alvarado romero,exportcafe,Asociacion Nacional Del Café,ft,5440 - 5760 metros,1755.648,1658.112,1706.88,275,69 kg,2015,"June 10th, 2015","June 9th, 2016",Caturra,Washed / Wet,7.67,7.83,7.58,7.92,7.75,7.67,10,10,10,7.58,84,0.12,0,7,0,Green
Arabica,Colombia,huila,NA,olam agro colombia,olam international ltd,Almacafé,m,1600,1600,1600,1600,250,1 kg,2014/2015,"December 18th, 2014","December 18th, 2015",Other,Washed / Wet,7.67,7.67,7.83,7.58,7.58,7.83,10,10,10,7.83,84,0.11,2,7,0,Green
Arabica,Guatemala,oriente,el papaturro,juan luis alvarado romero,"unex guatemala, s.a.",Asociacion Nacional Del Café,ft,4000 psnm,1219.2,1219.2,1219.2,250,69 kg,2014,"August 8th, 2014","August 8th, 2015",Bourbon,Natural / Dry,7.92,7.67,7.42,7.92,7.75,7.83,10,10,10,7.5,84,0.1,0,1,0,Green
Arabica,Guatemala,oriente,el papaturro,juan luis alvarado romero,"unex guatemala, s.a.",Asociacion Nacional Del Café,ft,4000 psnm,1219.2,1219.2,1219.2,250,69 kg,2014,"June 27th, 2014","June 27th, 2015",Bourbon,Other,7.75,7.83,7.5,7.83,7.58,7.67,10,10,10,7.83,84,0.1,0,0,0,Green
Arabica,Colombia,huila,NA,olam agro colombia,olam international ltd,Almacafé,m,1480,1480,1480,1480,250,1 kg,2014,"May 27th, 2014","May 27th, 2015",NA,Washed / Wet,7.67,7.75,7.67,7.67,7.67,7.75,10,10,10,7.83,84,0.12,0,0,0,Green
Arabica,Colombia,santander,NA,compañia colombiana agroindustrial s.a,ecom cca sa,Almacafé,m,1450,1450,1450,1450,250,70 kg,2014,"May 27th, 2014","May 27th, 2015",Caturra,Natural / Dry,7.58,7.42,7.75,7.92,7.75,7.92,10,10,10,7.67,84,0.12,0,0,0,Green
Arabica,Colombia,huila,NA,racafe & cia s.c.a,racafe & cia s.c.a,Almacafé,m,de 1600 a 1950 msnm,1950,1600,1775,138,70 kg,2014,"April 8th, 2014","April 8th, 2015",Caturra,Washed / Wet,7.67,7.67,7.5,7.5,7.67,7.67,10,10,10,8.33,84,0.12,0,3,0,Green
Arabica,Ethiopia,sidamo,NA,lusso lab,lusso coffee lab,Specialty Coffee Association,m,1550 m,1550,1550,1550,50,60 kg,2013,"January 17th, 2014","January 17th, 2015",Other,Natural / Dry,7.75,7.75,7.5,7.58,7.67,7.92,10,10,10,7.83,84,0.09,4,40,0,Green
Arabica,Brazil,south of minas,fazenda rio verde,ipanema coffees,ipanema coffees,Specialty Coffee Association,m,1260,1260,1260,1260,320,60 kg,2013/2014,"January 2nd, 2014","January 2nd, 2015",Yellow Bourbon,Natural / Dry,7.58,7.83,7.67,7.25,8,7.75,10,10,10,7.92,84,0.1,0,0,0,Green
Arabica,Colombia,cauca,NA,exportadora de cafe condor s.a,exportadora de cafe condor s.a,Almacafé,m,1700 msnm,1700,1700,1700,270,70 kg,2013,"June 21st, 2013","June 21st, 2014",Caturra,Washed / Wet,7.67,7.83,7.67,7.75,7.67,7.75,10,10,10,7.67,84,0.11,0,1,0,Green
Arabica,Kenya,blend,NA,ibero kenya limited,ibero kenya limited,Kenya Coffee Traders Association,m,above 1200 m,1200,1200,1200,300,60 kg,2012,"March 8th, 2013","March 8th, 2014",SL34,Washed / Wet,7.67,7.83,7.5,7.75,7.92,7.67,10,10,10,7.67,84,0,0,2,0,Green
Arabica,Thailand,thailand,doi tung development project,doi tung development project,mae fah luang foundation,Specialty Coffee Association,m,NA,NA,NA,NA,2,1 kg,2012,"June 21st, 2012","June 21st, 2013",Other,Washed / Wet,7.92,8.17,8.17,8.42,8.08,8.17,8.67,8.67,9.33,8.42,84,0.12,0,0,0,Green
Arabica,Kenya,central kenya,-,taylor winch (coffee) ltd.,taylor winch (coffee) ltd,Kenya Coffee Traders Association,m,1650,1650,1650,1650,150,9000 kg,2012,"May 31st, 2012","May 31st, 2013",SL28,Washed / Wet,7.67,7.75,7.67,7.75,7.83,7.67,10,10,10,7.67,84,0,0,0,0,Bluish-Green
Arabica,Uganda,kasese,NA,afca,bukonzo joint cfs,Africa Fine Coffee Association,m,1700m,1700,1700,1700,320,60 kg,2012,"February 13th, 2012","February 12th, 2013",Other,Washed / Wet,7.92,7.75,7.58,7.67,7.67,7.83,10,10,10,7.58,84,0.1,10,26,0,Green
Arabica,Thailand,NA,doi tung development project,doi tung development project,NA,Specialty Coffee Association,m,NA,NA,NA,NA,1,60 kg,2011,"August 16th, 2011","August 15th, 2012",NA,NA,7.58,7.75,7.58,7.75,7.58,7.75,10,10,10,8,84,0.06,0,0,0,NA
Arabica,Brazil,south of minas,fazenda capoeirnha,ipanema coffees,ipanema coffees,Brazil Specialty Coffee Association,m,890,890,890,890,320,60 kg,2017 / 2018,"October 20th, 2017","October 20th, 2018",Bourbon,Natural / Dry,7.5,7.75,7.58,7.5,7.58,7.5,10,10,10,8.5,83.92,0,0,3,0,Green
Arabica,Mexico,veracruz,cafetal,cafes tomari sa de cv,cafes tomari sa de cv,Centro Agroecológico del Café A.C.,m,1300,1300,1300,1300,200,69 kg,2017,"July 3rd, 2017","July 3rd, 2018",Mundo Novo,Washed / Wet,7.83,7.83,7.58,7.92,7.42,7.5,10,10,10,7.83,83.92,0.11,0,5,0,Green
Arabica,Thailand,chiangrai,saveg coffee farm,sarawut premjit,intercof 1978 group company limited,Specialty Coffee Association,m,1350,1350,1350,1350,45,40 kg,2015,"October 18th, 2016","October 18th, 2017",Catimor,Natural / Dry,7.67,7.75,7.5,7.67,7.67,7.83,10,10,10,7.83,83.92,0.1,0,1,0,Bluish-Green
Arabica,Brazil,south of minas,capoeirinha,ipanema coffees,ipanema coffees,Brazil Specialty Coffee Association,m,934,934,934,934,320,60 kg,2016,"August 16th, 2016","August 16th, 2017",Bourbon,Natural / Dry,7.58,7.67,7.67,7.75,7.58,7.83,10,10,10,7.83,83.92,0.11,0,7,2,Green
Arabica,Taiwan,"leye, alishan township, chiayi county 嘉義阿里山樂野村",tsoustructive garden 鄒築園,"lin, che-hao krude 林哲豪",taiwan coffee laboratory,Specialty Coffee Association,m,1200,1200,1200,1200,20,50 kg,2015,"May 18th, 2016","May 18th, 2017",Typica,Washed / Wet,7.83,7.75,7.83,7.75,7.83,7.75,9.33,10,10,7.83,83.92,0.11,0,3,0,Green
Arabica,Colombia,huila,NA,carcafe ltda ci,carcafe ltda,Almacafé,m,442,442,442,442,250,70 kg,2016,"February 11th, 2016","February 10th, 2017",NA,NA,7.75,7.67,7.5,7.75,7.83,7.75,10,10,10,7.67,83.92,0.11,1,2,0,Green
Arabica,Colombia,la plata,NA,almacafe,racafe & cia s.c.a,Almacafé,m,NA,NA,NA,NA,226,70 kg,2016,"January 21st, 2016","January 20th, 2017",NA,NA,7.75,7.58,7.5,7.83,7.75,7.92,10,10,10,7.58,83.92,0,1,5,3,NA
Arabica,Taiwan,台灣,very famous intl.名門義理國際股份有限公司,cqi taiwan icp cqi台灣合作夥伴,宸嶧國際,Blossom Valley International,m,NA,NA,NA,NA,1,2 kg,2014,"November 7th, 2015","November 6th, 2016",NA,Natural / Dry,7.75,7.75,7.58,7.75,7.75,7.67,10,10,10,7.67,83.92,0,0,0,0,Blue-Green
Arabica,Colombia,huila,NA,federacion nacional de cafeteros,federacion nacional de cafeteros,Almacafé,m,NA,NA,NA,NA,275,2 kg,2015,"August 18th, 2015","August 17th, 2016",NA,Washed / Wet,7.92,7.67,7.5,7.83,7.58,7.67,10,10,10,7.75,83.92,0,0,0,0,NA
Arabica,Colombia,huila,NA,federacion nacional de cafeteros,federacion nacional de cafeteros,Almacafé,m,NA,NA,NA,NA,275,2 kg,2014,"March 12th, 2015","March 11th, 2016",NA,Washed / Wet,7.83,7.75,7.58,7.58,7.75,7.75,10,10,10,7.67,83.92,0,1,1,0,None
Arabica,Colombia,huila,NA,racafe & cia s.c.a,racafe & cia s.c.a,Almacafé,m,de 1600 a 1950 msnm,1950,1600,1775,275,70 kg,2014,"December 12th, 2014","December 12th, 2015",Caturra,Washed / Wet,7.75,7.58,7.67,7.83,7.83,7.67,10,10,10,7.58,83.92,0,0,1,0,Green
Arabica,Taiwan,台中和平區,神谷山莊園,cqi taiwan icp cqi台灣合作夥伴,宸嶧國際,Blossom Valley International,m,950公尺,950,950,950,10,60 kg,2014,"November 23rd, 2014","November 23rd, 2015",Typica,Washed / Wet,8,7.92,7.92,7.92,7.67,7.33,10,10,10,7.17,83.92,0.06,0,0,0,Green
Arabica,Colombia,santander,NA,compañia colombiana agroindustrial s.a,ecom cca sa,Almacafé,m,1550,1550,1550,1550,250,70 kg,2014,"January 17th, 2014","January 17th, 2015",Caturra,Natural / Dry,7.67,7.83,7.67,7.75,7.67,7.83,10,10,10,7.5,83.92,0.12,0,3,0,Green
